,Group,Feed,logFeed,Day,Pos,Tested,method,x,n,p,lower,upper
2,LOW,1060000,6.03,0,0,3,exact,0,3,0,0,0.707598226
3,MED,59400000,7.77,0,3,3,exact,3,3,1,0.292401774,1
4,HIGH,1240000000,9.09,0,3,3,exact,3,3,1,0.292401774,1
6,LOW,1060000,6.03,3,0,3,exact,0,3,0,0,0.707598226
7,MED,59400000,7.77,3,3,3,exact,3,3,1,0.292401774,1
8,HIGH,1240000000,9.09,3,3,3,exact,3,3,1,0.292401774,1
10,LOW,1060000,6.03,5,0,3,exact,0,3,0,0,0.707598226
11,MED,59400000,7.77,5,3,3,exact,3,3,1,0.292401774,1
12,HIGH,1240000000,9.09,5,3,3,exact,3,3,1,0.292401774,1
14,LOW,1060000,6.03,7,0,3,exact,0,3,0,0,0.707598226
15,MED,59400000,7.77,7,3,3,exact,3,3,1,0.292401774,1
16,HIGH,1240000000,9.09,7,1,3,exact,1,3,0.333333333,0.008403759,0.905700676
18,LOW,1060000,6.03,9,0,3,exact,0,3,0,0,0.707598226
19,MED,59400000,7.77,9,3,3,exact,3,3,1,0.292401774,1
20,HIGH,1240000000,9.09,9,3,3,exact,3,3,1,0.292401774,1
22,LOW,1060000,6.03,11,1,3,exact,1,3,0.333333333,0.008403759,0.905700676
23,MED,59400000,7.77,11,0,3,exact,0,3,0,0,0.707598226
24,HIGH,1240000000,9.09,11,1,3,exact,1,3,0.333333333,0.008403759,0.905700676
26,LOW,1060000,6.03,13,0,3,exact,0,3,0,0,0.707598226
27,MED,59400000,7.77,13,3,3,exact,3,3,1,0.292401774,1
28,HIGH,1240000000,9.09,13,1,3,exact,1,3,0.333333333,0.008403759,0.905700676
