,Group,Feed,logFeed,Day,Pos,Tested,x,n,p,method,level,lower,upper,,,
2,LOW,1060000,6.03,0,0,30,0,30,0,exact,0.95,0,0.115703308,0,1,1
3,MED,59400000,7.77,0,30,30,30,30,1,exact,0.95,0.884296692,1,5,0.6,0.67
4,HIGH,1240000000,9.09,0,30,30,30,30,1,exact,0.95,0.884296692,1,7,0.419,0.37
6,LOW,1060000,6.03,5,1,30,1,30,0.033333333,exact,0.95,0.000843571,0.172169456,9,0.59,0.29
7,MED,59400000,7.77,5,18,30,18,30,0.6,exact,0.95,0.40603493,0.773442351,11,0.48,0.37
8,HIGH,1240000000,9.09,5,20,30,20,30,0.666666667,exact,0.95,0.471879955,0.827125779,13,0.28,0.49
10,LOW,1060000,6.03,7,0,31,0,31,0,exact,0.95,0,0.112188747,,,
11,MED,59400000,7.77,7,13,31,13,31,0.419354839,exact,0.95,0.245475951,0.609240778,,,
12,HIGH,1240000000,9.09,7,11,30,11,30,0.366666667,exact,0.95,0.199298625,0.561440151,,,
14,LOW,1060000,6.03,9,0,30,0,30,0,exact,0.95,0,0.115703308,,,
15,MED,59400000,7.77,9,16,27,16,27,0.592592593,exact,0.95,0.38798393,0.776102709,,,
16,HIGH,1240000000,9.09,9,8,27,8,27,0.296296296,exact,0.95,0.137526554,0.501813666,,,
18,LOW,1060000,6.03,11,0,31,0,31,0,exact,0.95,0,0.112188747,,,
19,MED,59400000,7.77,11,16,33,16,33,0.484848485,exact,0.95,0.307963444,0.664555522,,,
20,HIGH,1240000000,9.09,11,11,30,11,30,0.366666667,exact,0.95,0.199298625,0.561440151,,,
22,LOW,1060000,6.03,13,0,66,0,66,0,exact,0.95,0,0.054358847,,,
23,MED,59400000,7.77,13,26,91,26,91,0.285714286,exact,0.95,0.195865815,0.389988249,,,
24,HIGH,1240000000,9.09,13,19,39,19,39,0.487179487,exact,0.95,0.324180781,0.652197791,,,
